"Date";"CompositeBenchmarkSA";"YearOverYearChangePercentage"
"2019-07-01";525000;-3.7
"2019-08-01";527500;-3.1
"2019-09-01";530800;-2.3
"2019-10-01";533900;-1.6
"2019-11-01";536500;-0.5
"2019-12-01";538500;0.4
"2020-01-01";540200;2.1
"2020-02-01";541700;4.1
"2020-03-01";541300;4.9
"2020-04-01";534200;3.4
"2020-05-01";538700;3.9
"2020-06-01";548200;4.9
"2020-07-01";562000;6.8
"2020-08-01";575000;8.7
"2020-09-01";584300;9.8
"2020-10-01";590600;10.3
"2020-11-01";598900;11.4
"2020-12-01";607700;12.6
"2021-01-01";620600;14.8
"2021-02-01";636400;17.7
"2021-03-01";652900;21.1
"2021-04-01";664900;25.1
"2021-05-01";676200;26.0
"2021-06-01";687400;25.5
"2021-07-01";695500;23.6
"2021-08-01";706200;22.4
"2021-09-01";721700;23.1
"2021-10-01";742700;25.4
"2021-11-01";762700;27.2
"2021-12-01";780200;28.3
"2022-01-01";815900;31.0
"2022-02-01";838400;31.4
"2022-03-01";835300;27.8
"2022-04-01";819900;23.5
"2022-05-01";804900;19.6
"2022-06-01";784600;14.7
"2022-07-01";767700;10.8
"2022-08-01";753300;6.9
"2022-09-01";743800;3.2
"2022-10-01";736800;-0.9
"2022-11-01";731400;-4.4
"2022-12-01";724400;-7.6
"2023-01-01";716600;-12.4
"2023-02-01";712000;-15.4
"2023-03-01";709600;-15.3
"2023-04-01";722000;-12.0
"2023-05-01";734400;-8.6
"2023-06-01";746100;-4.5
"2023-07-01";753000;-1.5
"2023-08-01";754300;0.4
"2023-09-01";750700;1.1
"2023-10-01";744200;1.1
"2023-11-01";736400;0.6
"2023-12-01";730400;0.7
